id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,color,quantity_to_sell_on_facebook,custom_label_0,custom_label_1,custom_label_2
nothing-phone-1-128gb-used-non-pta-black,"Nothing Phone (1) 128GB Black — Used, Non-PTA",Nothing Phone (1). 128GB storage. Colour: Black. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,60000 PKR,https://www.smartcell.pk/product/nothing-phone-1-128gb-used-non-pta?color=Black,https://www.smartcell.pk/assets/no-image.png,,Nothing,Electronics > Communications > Telephony > Mobile Phones,Black,1,Non-PTA,Used,128GB
google-pixel-7-128gb-used-pta-approved-lemongrass,"Google Pixel 7 128GB Lemongrass — Used, PTA Approved",Google Pixel 7. 128GB storage. Colour: Lemongrass. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,68000 PKR,https://www.smartcell.pk/product/google-pixel-7-128gb-used-pta-approved?color=Lemongrass,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Lemongrass,6,PTA Approved,Used,128GB
google-pixel-7-128gb-used-pta-approved-obsidian,"Google Pixel 7 128GB Obsidian — Used, PTA Approved",Google Pixel 7. 128GB storage. Colour: Obsidian. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,68000 PKR,https://www.smartcell.pk/product/google-pixel-7-128gb-used-pta-approved?color=Obsidian,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,6,PTA Approved,Used,128GB
google-pixel-6a-128gb-used-pta-approved-chalk,"Google Pixel 6a 128GB Chalk — Used, PTA Approved",Google Pixel 6a. 128GB storage. Colour: Chalk. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,45000 PKR,https://www.smartcell.pk/product/google-pixel-6a-128gb-used-pta-approved?color=Chalk,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Chalk,3,PTA Approved,Used,128GB
google-pixel-6a-128gb-used-pta-approved-sage,"Google Pixel 6a 128GB Sage — Used, PTA Approved",Google Pixel 6a. 128GB storage. Colour: Sage. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,45000 PKR,https://www.smartcell.pk/product/google-pixel-6a-128gb-used-pta-approved?color=Sage,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Sage,3,PTA Approved,Used,128GB
google-pixel-6-pro-512gb-used-pta-approved-stormy-black,"Google Pixel 6 Pro 512GB Stormy Black — Used, PTA Approved",Google Pixel 6 Pro. 512GB storage. Colour: Stormy Black. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,85000 PKR,https://www.smartcell.pk/product/google-pixel-6-pro-512gb-used-pta-approved?color=Stormy%20Black,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Stormy Black,1,PTA Approved,Used,512GB
google-pixel-6-pro-256gb-used-pta-approved-stormy-black,"Google Pixel 6 Pro 256GB Stormy Black — Used, PTA Approved",Google Pixel 6 Pro. 256GB storage. Colour: Stormy Black. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,78000 PKR,https://www.smartcell.pk/product/google-pixel-6-pro-256gb-used-pta-approved?color=Stormy%20Black,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Stormy Black,2,PTA Approved,Used,256GB
google-pixel-6-128gb-used-pta-approved-sorta-seafoam,"Google Pixel 6 128GB Sorta Seafoam — Used, PTA Approved",Google Pixel 6. 128GB storage. Colour: Sorta Seafoam. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,55000 PKR,https://www.smartcell.pk/product/google-pixel-6-128gb-used-pta-approved?color=Sorta%20Seafoam,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Sorta Seafoam,1,PTA Approved,Used,128GB
google-pixel-10a-128gb-new-non-pta-obsidian,"Google Pixel 10a 128GB Obsidian — New, Non-PTA",Google Pixel 10a. 128GB storage. Colour: Obsidian. Condition: New. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,new,155000 PKR,https://www.smartcell.pk/product/google-pixel-10a-128gb-new-non-pta?color=Obsidian,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,1,Non-PTA,New,128GB
google-pixel-10-pro-xl-256gb-used-non-pta-jade,"Google Pixel 10 Pro XL 256GB Jade — Used, Non-PTA",Google Pixel 10 Pro XL. 256GB storage. Colour: Jade. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,235000 PKR,https://www.smartcell.pk/product/google-pixel-10-pro-xl-256gb-used-non-pta?color=Jade,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Jade,2,Non-PTA,Used,256GB
google-pixel-10-pro-xl-256gb-used-non-pta-moonstone,"Google Pixel 10 Pro XL 256GB Moonstone — Used, Non-PTA",Google Pixel 10 Pro XL. 256GB storage. Colour: Moonstone. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,235000 PKR,https://www.smartcell.pk/product/google-pixel-10-pro-xl-256gb-used-non-pta?color=Moonstone,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Moonstone,2,Non-PTA,Used,256GB
google-pixel-10-pro-128gb-open-box-non-pta-moonstone,"Google Pixel 10 Pro 128GB Moonstone — Open Box, Non-PTA",Google Pixel 10 Pro. 128GB storage. Colour: Moonstone. Condition: Open Box. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,refurbished,235000 PKR,https://www.smartcell.pk/product/google-pixel-10-pro-128gb-open-box-non-pta?color=Moonstone,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Moonstone,1,Non-PTA,Open Box,128GB
google-pixel-10-pro-256gb-used-non-pta-obsidian,"Google Pixel 10 Pro 256GB Obsidian — Used, Non-PTA",Google Pixel 10 Pro. 256GB storage. Colour: Obsidian. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,245000 PKR,https://www.smartcell.pk/product/google-pixel-10-pro-256gb-used-non-pta?color=Obsidian,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,1,Non-PTA,Used,256GB
google-pixel-10-128gb-new-non-pta-indigo,"Google Pixel 10 128GB Indigo — New, Non-PTA",Google Pixel 10. 128GB storage. Colour: Indigo. Condition: New. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,new,190000 PKR,https://www.smartcell.pk/product/google-pixel-10-128gb-new-non-pta?color=Indigo,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Indigo,3,Non-PTA,New,128GB
google-pixel-10-128gb-new-non-pta-obsidian,"Google Pixel 10 128GB Obsidian — New, Non-PTA",Google Pixel 10. 128GB storage. Colour: Obsidian. Condition: New. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,new,190000 PKR,https://www.smartcell.pk/product/google-pixel-10-128gb-new-non-pta?color=Obsidian,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,3,Non-PTA,New,128GB
oneplus-13t-512gb-used-non-pta-indigo,"OnePlus 13T 512GB Indigo — Used, Non-PTA",OnePlus 13T. 512GB storage. Colour: Indigo. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,150000 PKR,https://www.smartcell.pk/product/oneplus-13t-512gb-used-non-pta?color=Indigo,https://www.smartcell.pk/assets/no-image.png,,OnePlus,Electronics > Communications > Telephony > Mobile Phones,Indigo,1,Non-PTA,Used,512GB
